收款编号,发票编号,收款日期,收款金额
S00103,F000078,2017/2/15,2595.32
S00104,F000079,2017/8/13,1981.76
S00105,F000080,2017/5/14,1353.82
S00106,F000081,2017/10/14,6912.6
S00107,F000082,2017/11/26,2528.5176000000006
S00108,F000082,2018/1/30,1615.4417999999998
S00109,F000082,2018/4/2,538.4805999999999
S00110,F000083,2017/8/20,4103.96
S00111,F000084,2017/4/1,4961.200000000001
S00112,F000085,2017/3/12,6372.08
S00113,F000086,2017/5/11,7094.04
S00114,F000087,2017/3/17,2357.42
S00115,F000088,2017/5/21,4737.6
S00116,F000089,2018/3/21,2987.04
S00117,F000090,2017/8/16,2582.37
S00118,F000091,2017/3/12,3558.72
S00119,F000092,2017/4/10,3104.64
S00120,F000093,2017/5/11,2727.0
S00121,F000094,2017/3/20,5510.75
S00122,F000095,2018/3/26,6129.81
S00123,F000096,2017/11/24,3694.56
S00124,F000097,2017/11/2,4839.21
S00125,F000098,2017/8/18,1223.694
S00126,F000098,2017/9/8,1961.06832
S00127,F000098,2017/11/23,762.6376799999998
S00128,F000099,2017/3/20,1235.052
S00129,F000099,2017/5/13,512.07156
S00130,F000099,2017/6/29,152.95643999999993
S00131,F000100,2017/3/27,2210.0985
S00132,F000100,2017/5/15,2701.2315
S00133,F000101,2017/4/20,4492.56
S00134,F000102,2017/3/15,4541.76
S00135,F000103,2017/10/1,5845.53
S00136,F000104,2017/3/24,2265.72
S00137,F000105,2017/12/27,3702.0
S00138,F000106,2017/4/19,3580.32
S00139,F000107,2017/8/1,2419.56
S00140,F000108,2017/7/25,617.3567999999999
S00141,F000108,2017/10/5,724.7232
S00142,F000109,2017/3/16,1867.36
S00143,F000110,2017/3/22,2869.26
S00144,F000111,2017/4/6,3591.2000000000003
S00145,F000112,2017/10/15,7053.4800000000005
S00146,F000113,2017/9/9,4820.38
S00147,F000114,2017/9/27,8598.21
S00148,F000115,2017/3/17,7100.56
S00149,F000116,2017/12/4,5635.330000000001
S00150,F000117,2017/3/14,5576.74
S00151,F000118,2017/4/2,2441.2000000000003
S00152,F000119,2017/3/20,6750.13
S00153,F000120,2017/3/19,4287.24
S00154,F000121,2017/3/27,1465.2
S00155,F000122,2017/3/20,4920.4800000000005
S00156,F000123,2017/6/17,2205.24
S00157,F000124,2017/5/15,413.6664
S00158,F000124,2017/6/30,3033.5536
S00159,F000125,2017/5/13,4979.26
S00160,F000126,2017/10/27,4621.280000000001
S00161,F000127,2017/4/8,2209.6
S00162,F000128,2017/3/11,3522.1200000000003
S00163,F000129,2017/4/2,2270.6
S00164,F000130,2017/3/19,6047.299999999999
S00165,F000131,2017/8/18,2383.7
S00166,F000132,2017/10/30,2301.068
S00167,F000132,2018/1/3,687.3319999999999
S00168,F000133,2017/5/25,5746.25
S00169,F000134,2017/3/13,3521.28
S00170,F000135,2017/3/29,3414.25
S00171,F000136,2017/3/20,2269.8
S00172,F000137,2017/3/18,3279.12
S00173,F000138,2017/5/19,1102.05
S00174,F000138,2017/7/26,2452.95
S00175,F000139,2017/3/18,4379.5
S00176,F000140,2017/3/18,3641.28
S00177,F000141,2017/4/17,3772.4
S00178,F000142,2017/9/16,1881.9216
S00179,F000142,2017/11/28,2943.5184
S00180,F000143,2017/5/1,2397.07
S00181,F000144,2017/10/25,7925.85
S00182,F000145,2017/4/7,5175.0504
S00183,F000145,2017/5/18,1459.6296000000002
S00184,F000146,2017/4/15,8767.08
S00185,F000147,2017/5/21,5143.84
S00186,F000148,2017/4/15,5929.0
S00187,F000149,2017/6/8,5221.39
S00188,F000150,2017/4/16,4331.4
S00189,F000151,2017/5/30,6934.9
S00190,F000152,2017/7/14,4890.9
S00191,F000153,2017/4/16,3101.44
S00192,F000154,2017/8/9,2238.06
S00193,F000155,2017/7/20,2923.68
S00194,F000156,2017/5/24,8341.8
S00195,F000157,2017/8/14,5955.120000000001
S00196,F000158,2017/4/30,4134.96
S00197,F000159,2017/4/27,2254.3904
S00198,F000159,2017/6/17,1240.6920959999998
S00199,F000159,2017/9/4,391.79750400000006
S00200,F000160,2017/5/26,1490.3994
S00201,F000160,2017/8/11,6500.270525999999
S00202,F000160,2017/10/20,2655.0400739999995
S00203,F000161,2017/4/15,9293.9
S00204,F000162,2017/4/8,1679.6808
S00205,F000162,2017/5/12,1252.561968
S00206,F000162,2017/7/31,1066.9972320000002
S00207,F000163,2017/4/11,5618.84
S00208,F000164,2017/5/7,1223.5392
S00209,F000164,2017/6/30,440.4741120000001
S00210,F000164,2017/9/13,247.76668799999996
S00211,F000165,2017/4/8,2278.5
S00212,F000166,2017/6/2,3919.95
S00213,F000167,2017/4/29,5437.2300000000005
S00214,F000168,2017/4/18,5105.28
S00215,F000169,2017/12/17,8196.849999999999
S00216,F000170,2017/10/20,10582.5
S00217,F000171,2017/6/24,2117.511
S00218,F000171,2017/8/15,763.5872999999998
S00219,F000171,2017/10/17,327.25170000000026
S00220,F000172,2017/5/4,4113.0
S00221,F000173,2017/5/28,1088.34
S00222,F000173,2017/7/3,1373.229
S00223,F000173,2017/7/26,739.431
S00224,F000174,2017/5/22,3333.4848
S00225,F000174,2017/6/13,2839.6352
S00226,F000175,2017/4/11,5318.67
S00227,F000176,2017/10/3,3751.16
S00228,F000177,2017/4/16,11245.5
S00229,F000178,2017/6/5,387.4164
S00230,F000178,2017/8/7,1210.562304
S00231,F000178,2017/9/10,680.941296
S00232,F000179,2017/4/24,7028.1
S00233,F000180,2017/12/21,3914.8
S00234,F000181,2017/11/6,4730.2277
S00235,F000181,2017/12/6,855.0335639999998
S00236,F000181,2018/1/1,402.3687360000004
S00237,F000182,2017/10/9,5336.5
S00238,F000183,2017/4/12,3988.6
S00239,F000184,2017/4/17,7499.4
S00240,F000185,2017/4/14,5413.5
S00241,F000186,2017/8/19,9722.3
S00242,F000187,2017/9/8,6359.03
S00243,F000188,2018/2/4,2292.5
S00244,F000189,2017/6/9,5946.15
S00245,F000190,2017/11/12,3516.0
S00246,F000191,2017/6/28,3300.68
S00247,F000192,2017/4/9,16445.760000000002
S00248,F000193,2017/4/28,4682.92
S00249,F000194,2017/4/23,6627.18
S00250,F000195,2017/12/19,6926.7
S00251,F000196,2017/4/14,1844.0856000000003
S00252,F000196,2017/6/26,1083.0344
S00253,F000197,2017/4/23,3513.96
S00254,F000198,2017/12/2,4184.72
S00255,F000199,2017/5/11,7614.9
S00256,F000200,2017/4/8,8709.25
S00257,F000201,2017/9/7,2072.25
S00258,F000202,2017/5/17,3708.3
S00259,F000203,2017/7/21,2772.84
S00260,F000204,2017/5/19,7487.969999999998
S00261,F000205,2017/11/6,6908.4
S00262,F000206,2017/5/27,2447.7180000000003
S00263,F000206,2017/7/10,3312.57836
S00264,F000206,2017/9/3,2398.76364
S00265,F000207,2017/5/14,5865.66
S00266,F000208,2017/10/17,1681.862
S00267,F000208,2017/11/24,425.2708200000002
S00268,F000208,2017/12/27,295.52718000000004
S00269,F000209,2017/5/6,9687.0
S00270,F000210,2018/1/7,1126.07
S00271,F000211,2017/5/11,2484.72
S00272,F000212,2017/8/23,4979.3
S00273,F000213,2017/5/21,2079.0864
S00274,F000213,2017/7/10,1078.678944
S00275,F000213,2017/9/8,918.8746560000003
S00276,F000214,2017/5/24,13646.49
S00277,F000215,2017/5/13,9903.0
S00278,F000216,2017/5/7,1785.6
S00279,F000217,2017/11/7,5254.4800000000005
S00280,F000218,2017/6/15,7789.77
S00281,F000219,2017/5/29,13059.06
S00282,F000220,2017/6/3,4658.92
S00283,F000221,2018/2/18,4839.12
S00284,F000222,2017/5/22,8004.42
S00285,F000223,2017/8/16,519.456
S00286,F000223,2017/9/10,1426.5251200000002
S00287,F000223,2017/10/29,527.61888
S00288,F000224,2017/10/22,7216.11
S00289,F000225,2017/9/8,5844.4
S00290,F000226,2017/5/20,4253.860000000001
S00291,F000227,2017/8/7,5562.7
S00292,F000228,2017/5/28,10469.58
S00293,F000229,2017/5/13,5810.13
S00294,F000230,2017/8/3,5866.935
S00295,F000230,2017/10/22,1559.5649999999996
S00296,F000231,2017/7/27,5626.25
S00297,F000232,2017/6/1,4586.94
S00298,F000233,2017/5/22,6159.400000000001
S00299,F000234,2018/2/2,2121.6
S00300,F000235,2017/5/17,6105.75
S00301,F000236,2017/5/29,7425.000000000002
S00302,F000237,2018/1/28,3232.3680000000004
S00303,F000237,2018/2/18,1257.0320000000002
S00304,F000238,2017/5/22,6685.4400000000005
S00305,F000239,2017/5/30,8242.83
S00306,F000240,2017/5/24,4090.5
S00307,F000241,2017/5/24,2390.2000000000003
S00308,F000242,2017/9/29,11484.88
S00309,F000243,2017/6/23,1131.75
S00310,F000243,2017/8/21,6556.605
S00311,F000243,2017/9/27,1742.8950000000004
S00312,F000244,2017/12/21,2607.44
S00313,F000245,2017/5/15,9189.18
S00314,F000246,2017/7/3,8882.5
S00315,F000247,2018/1/30,210.584
S00316,F000247,2018/3/24,1895.256
S00317,F000248,2017/5/15,3578.34
S00318,F000249,2017/5/22,4917.76
S00319,F000250,2017/7/5,6229.780000000001
S00320,F000251,2017/5/21,1945.6017
S00321,F000251,2017/7/19,1352.0282999999995
S00322,F000252,2017/9/16,2632.143
S00323,F000252,2017/10/31,527.1399899999999
S00324,F000252,2018/1/14,397.66701000000006
S00325,F000253,2017/5/22,1711.0
S00326,F000254,2017/5/23,1810.8
S00327,F000255,2017/10/16,2689.44
S00328,F000256,2017/5/26,5885.5
S00329,F000257,2017/9/5,1294.38
S00330,F000257,2017/11/5,2623.2768
S00331,F000257,2018/1/15,1475.5931999999998
S00332,F000258,2017/12/29,9284.34
S00333,F000259,2017/8/27,3307.36
S00334,F000260,2018/2/10,3752.46
S00335,F000261,2018/2/11,6213.6
S00336,F000262,2017/6/7,2314.2
S00337,F000263,2017/6/21,11726.72
S00338,F000264,2017/6/13,10393.320000000002
S00339,F000265,2017/6/6,2338.93
S00340,F000266,2017/7/11,5975.1
S00341,F000267,2017/11/29,9149.7
S00342,F000268,2017/12/25,2700.17
S00343,F000269,2017/10/15,2114.84
S00344,F000270,2017/6/22,1497.73
S00345,F000271,2017/7/18,5629.5
S00346,F000272,2017/12/21,2594.13
S00347,F000272,2018/2/12,3301.62
S00348,F000273,2018/3/3,2790.56
S00349,F000274,2018/5/28,5912.46
S00350,F000275,2017/9/21,6006.4400000000005
S00351,F000276,2018/2/5,7397.52
S00352,F000277,2017/8/3,723.471
S00353,F000277,2017/8/28,2721.6290000000004
S00354,F000278,2018/5/31,5241.25
S00355,F000279,2017/7/4,3701.36
S00356,F000280,2017/6/27,916.86
S00357,F000280,2017/7/22,3636.8780000000006
S00358,F000280,2017/9/5,1558.6619999999994
S00359,F000281,2017/6/11,1990.67
S00360,F000282,2017/8/20,1670.3203
S00361,F000282,2017/10/1,407.741202
S00362,F000282,2017/12/12,210.04849800000008
S00363,F000283,2017/7/4,4307.73
S00364,F000284,2017/8/30,6357.4400000000005
S00365,F000285,2017/7/7,9375.9
S00366,F000286,2018/2/4,4718.18
S00367,F000287,2017/8/1,10437.9
S00368,F000288,2018/1/10,6871.83
S00369,F000289,2017/7/13,4627.4800000000005
S00370,F000290,2017/6/19,3077.0
S00371,F000291,2017/6/13,4348.5
S00372,F000292,2017/8/10,2816.9
S00373,F000293,2017/6/14,5697.34
S00374,F000294,2017/6/11,12173.7
S00375,F000295,2017/6/27,2163.7000000000003
S00376,F000296,2017/12/18,8540.48
S00377,F000297,2017/12/6,3011.3252
S00378,F000297,2018/1/26,513.510192
S00379,F000297,2018/3/19,437.434608
S00380,F000298,2018/2/10,5066.92
S00381,F000299,2017/10/26,3698.66
S00382,F000300,2017/10/2,3497.92
S00383,F000301,2017/8/13,8040.33
S00384,F000302,2018/3/13,2321.9
S00385,F000303,2017/6/11,6176.06
S00386,F000304,2017/11/8,10238.22
S00387,F000305,2017/7/17,4229.77
S00388,F000306,2017/6/10,4338.49
S00389,F000307,2017/7/15,5060.6
S00390,F000307,2017/8/14,910.9079999999998
S00391,F000307,2017/9/9,354.24200000000013
S00392,F000308,2017/8/7,4206.06
S00393,F000309,2017/6/18,5613.150000000001
S00394,F000310,2017/6/17,1894.088
S00395,F000310,2017/8/13,9943.962
S00396,F000311,2017/8/26,7409.74
S00397,F000312,2017/6/10,5267.7
S00398,F000313,2017/6/29,2187.486
S00399,F000313,2017/8/28,3888.864
S00400,F000314,2017/10/15,7397.78
S00401,F000315,2018/3/7,9370.35
S00402,F000316,2017/12/12,1840.2468
S00403,F000316,2018/1/5,3596.3680320000003
S00404,F000316,2018/3/15,1135.6951680000002
S00405,F000317,2017/10/20,4632.6
S00406,F000318,2018/1/3,5744.42
S00407,F000319,2017/8/13,7744.11
S00408,F000320,2017/10/28,7640.82
S00409,F000321,2017/8/1,9010.48
S00410,F000322,2018/4/9,3484.35
S00411,F000322,2018/5/18,2322.9
S00412,F000323,2017/8/3,9698.849999999999
S00413,F000324,2017/7/25,3615.12
S00414,F000325,2017/8/21,5893.99
S00415,F000326,2017/7/22,8746.76
S00416,F000327,2017/9/2,3348.0
S00417,F000328,2017/7/30,3746.4
S00418,F000329,2017/8/17,2428.47
S00419,F000330,2017/8/16,5671.370000000001
S00420,F000331,2017/8/30,3345.42
S00421,F000332,2018/2/12,11075.160000000002
S00422,F000333,2017/9/10,5453.619600000001
S00423,F000333,2017/11/11,2057.176836
S00424,F000333,2017/12/28,1429.563564
S00425,F000334,2018/2/7,4201.12
S00426,F000335,2017/11/21,9235.89
S00427,F000336,2018/3/29,12244.76
S00428,F000337,2017/7/24,6047.4337
S00429,F000337,2017/9/7,1806.3763000000008
S00430,F000338,2017/7/8,5826.8
S00431,F000339,2017/7/30,533.375
S00432,F000339,2017/9/26,816.06375
S00433,F000339,2017/11/7,784.06125
S00434,F000340,2017/7/15,6310.59
S00435,F000341,2017/8/24,2795.7644
S00436,F000341,2017/9/20,697.4298759999999
S00437,F000341,2017/11/26,284.8657239999998
S00438,F000342,2017/7/20,8078.56
S00439,F000343,2017/7/21,2798.4
S00440,F000344,2017/7/22,3477.28
S00441,F000345,2017/7/24,6779.5
S00442,F000346,2017/8/18,13760.28
S00443,F000347,2017/7/19,1927.4706
S00444,F000347,2017/8/16,3281.9094000000005
S00445,F000348,2017/8/16,9018.0
S00446,F000349,2018/2/23,4901.52
S00447,F000350,2018/3/3,3999.06
S00448,F000351,2017/7/21,2724.12
S00449,F000352,2017/10/13,10658.320000000002
S00450,F000353,2017/7/26,5216.400000000001
S00451,F000354,2017/7/19,3447.18
S00452,F000355,2017/11/18,4958.280000000001
S00453,F000356,2017/9/6,9452.34
S00454,F000357,2017/7/30,7095.330000000001
S00455,F000358,2017/8/26,401.5760000000001
S00456,F000358,2017/11/1,3614.184
S00457,F000359,2017/7/24,8855.6
S00458,F000360,2018/2/5,5968.62
S00459,F000361,2017/12/12,7104.47
S00460,F000362,2017/7/21,2385.36
S00461,F000363,2017/7/25,4921.2
S00462,F000364,2017/8/23,7847.840000000002
S00463,F000365,2017/7/18,4015.2588
S00464,F000365,2017/8/11,2907.6012
S00465,F000366,2018/3/6,1522.0986000000005
S00466,F000366,2018/5/2,396.6280119999999
S00467,F000366,2018/6/11,287.2133879999999
S00468,F000367,2017/7/16,7669.0
S00469,F000368,2017/8/3,3900.8508
S00470,F000368,2017/10/16,904.575672
S00471,F000368,2017/11/29,465.993528
S00472,F000369,2018/1/8,3168.77
S00473,F000370,2017/8/29,3471.26
S00474,F000371,2017/9/18,7332.48
S00475,F000372,2017/7/19,4437.16
S00476,F000372,2017/8/8,1901.6400000000003
S00477,F000373,2017/12/4,7954.98
S00478,F000374,2017/10/1,9552.76
S00479,F000375,2017/7/22,5936.84
S00480,F000376,2017/7/19,14428.7
S00481,F000377,2017/7/21,2041.424
S00482,F000377,2017/9/23,1252.692
S00483,F000377,2017/11/17,417.5640000000003
S00484,F000378,2017/7/22,4127.18
S00485,F000379,2017/12/6,5942.3364
S00486,F000379,2018/2/9,2796.3935999999994
S00487,F000380,2018/3/16,9301.2
S00488,F000381,2017/9/20,2175.3984
S00489,F000381,2017/12/6,1709.2415999999998
S00490,F000382,2018/5/15,6675.6
S00491,F000383,2017/8/23,6080.8968
S00492,F000383,2017/10/13,1209.778416
S00493,F000383,2017/11/14,710.5047839999996
S00494,F000384,2017/9/3,7299.28
S00495,F000385,2017/8/8,12714.24
S00496,F000386,2017/8/23,3644.487
S00497,F000386,2017/9/19,1088.6129999999998
S00498,F000387,2017/8/26,9251.0
S00499,F000388,2017/8/20,1974.0924
S00500,F000388,2017/10/26,2054.6676
S00501,F000389,2017/9/3,6314.76
S00502,F000390,2017/8/17,6137.52
S00503,F000391,2017/8/18,2324.4
S00504,F000392,2018/9/20,10327.48
S00505,F000393,2017/9/1,7502.31
S00506,F000394,2017/9/1,6470.46
S00507,F000395,2017/8/17,6698.58
S00508,F000396,2018/4/30,10482.0
S00509,F000397,2017/9/30,3263.28
S00510,F000398,2018/4/1,4914.54
S00511,F000399,2017/8/7,4634.200000000001
S00512,F000400,2017/8/9,7130.4
S00513,F000401,2017/9/26,5125.28
S00514,F000402,2017/9/26,1688.832
S00515,F000402,2017/12/4,3588.768
S00516,F000403,2017/9/29,3245.508
S00517,F000403,2017/12/4,2878.092
S00518,F000404,2017/8/23,7985.6
S00519,F000404,2017/10/21,3181.36
S00520,F000404,2017/12/4,1713.0399999999993
S00521,F000405,2017/12/22,6043.1
S00522,F000406,2017/10/1,9341.8
S00523,F000407,2018/1/27,7911.12
S00524,F000408,2017/9/3,7406.585999999998
S00525,F000408,2017/10/21,1431.2727000000002
S00526,F000408,2018/1/8,1171.0413000000008
S00527,F000409,2017/8/17,6643.2300000000005
S00528,F000410,2018/3/26,2505.12
S00529,F000411,2018/3/8,6422.72
S00530,F000412,2017/10/18,15245.26
S00531,F000413,2017/8/20,3044.6000000000004
S00532,F000414,2017/8/31,4703.7300000000005
S00533,F000415,2017/12/10,7027.92
S00534,F000416,2017/8/22,8534.61
S00535,F000417,2017/12/29,8932.8
S00536,F000418,2018/7/1,4666.68
S00537,F000419,2017/8/10,1326.292
S00538,F000419,2017/9/4,4702.308
S00539,F000420,2018/8/24,7794.09
S00540,F000421,2017/9/29,5831.0
S00541,F000422,2017/8/11,4051.56
S00542,F000423,2017/8/8,2096.016
S00543,F000423,2017/10/14,5965.584
S00544,F000424,2017/8/4,3844.960000000001
S00545,F000425,2018/5/22,3749.25
S00546,F000426,2018/1/3,3943.752
S00547,F000426,2018/2/16,1458.6480000000006
S00548,F000427,2017/8/25,5890.860000000001
S00549,F000428,2017/8/16,2620.9300000000003
S00550,F000429,2017/8/3,2871.0
S00551,F000430,2017/10/8,2607.4770000000003
S00552,F000430,2017/12/15,1359.48456
S00553,F000430,2018/1/23,528.6884399999999
S00554,F000431,2017/8/17,12586.7
S00555,F000432,2017/12/18,5665.65
S00556,F000433,2017/8/15,3758.1248
S00557,F000433,2017/10/19,629.3669760000002
S00558,F000433,2017/11/19,369.6282240000001
S00559,F000434,2017/10/4,3551.2092
S00560,F000434,2017/10/25,1595.4707999999996
S00561,F000435,2017/10/14,9457.84
S00562,F000436,2017/8/8,9904.81
S00563,F000437,2017/8/10,10324.71
S00564,F000438,2017/10/4,9127.62
S00565,F000439,2017/10/29,3389.28
S00566,F000440,2017/8/28,5216.26
S00567,F000441,2017/9/15,9172.4758
S00568,F000441,2017/10/26,2547.622856000001
S00569,F000441,2017/12/1,1198.8813439999994
S00570,F000442,2017/9/6,2924.3969999999995
S00571,F000442,2017/9/28,1717.5030000000002
S00572,F000443,2017/9/10,3936.3428
S00573,F000443,2017/10/16,1302.802488
S00574,F000443,2017/11/11,1109.794712
S00575,F000444,2017/10/5,7287.99
S00576,F000445,2018/3/28,11138.4
S00577,F000446,2018/1/27,2121.7000000000003
S00578,F000447,2017/9/24,7442.82
S00579,F000448,2018/3/28,4524.96
S00580,F000449,2017/11/29,3016.5
S00581,F000450,2017/10/22,8386.560000000001
S00582,F000451,2017/9/26,2762.32
S00583,F000452,2018/3/23,5750.8
S00584,F000453,2018/4/18,4176.135
S00585,F000453,2018/5/29,2296.0863
S00586,F000453,2018/7/16,1407.2786999999998
S00587,F000454,2018/5/16,5774.37
S00588,F000455,2017/12/3,2379.74
S00589,F000456,2018/4/5,6633.9
S00590,F000457,2018/1/24,2342.6
S00591,F000458,2017/10/1,1884.7044
S00592,F000458,2017/11/8,1383.189156
S00593,F000458,2017/12/14,1328.9464440000002
S00594,F000459,2018/3/28,15950.760000000002
S00595,F000460,2018/4/10,9390.52
S00596,F000461,2018/7/11,7423.92
S00597,F000462,2017/9/16,4486.28
S00598,F000463,2017/10/13,5661.5
S00599,F000464,2017/11/3,11237.04
S00600,F000465,2017/9/23,7017.84
S00601,F000466,2017/12/30,4454.7
S00602,F000467,2018/5/23,7612.75
S00603,F000468,2017/9/8,5931.13
S00604,F000469,2018/6/15,7780.75
S00605,F000470,2017/9/23,2549.898
S00606,F000470,2017/10/20,1199.9520000000002
S00607,F000471,2017/9/30,2255.5052
S00608,F000471,2017/11/25,2995.554744
S00609,F000471,2018/1/10,844.9000559999995
S00610,F000472,2017/9/4,3277.44
S00611,F000473,2017/12/9,6282.0
S00612,F000474,2017/10/9,7319.29
S00613,F000475,2017/11/21,9653.33
S00614,F000476,2017/10/16,10062.03
S00615,F000477,2017/11/4,3487.99
S00616,F000478,2018/3/30,3083.13
S00617,F000479,2017/11/13,1059.894
S00618,F000479,2017/12/3,3843.88224
S00619,F000479,2018/2/11,2162.18376
S00620,F000480,2017/9/19,5418.92
S00621,F000481,2017/10/14,8130.24
S00622,F000482,2017/9/18,7048.08
S00623,F000483,2017/9/7,3610.36
S00624,F000484,2017/9/3,4791.500000000001
S00625,F000485,2017/10/19,13063.71
S00626,F000486,2017/9/22,2074.3625
S00627,F000486,2017/10/23,6223.0875
S00628,F000487,2018/1/8,10031.67
S00629,F000488,2017/9/22,8354.56
S00630,F000489,2017/11/18,3538.2
S00631,F000490,2017/9/19,7639.2
S00632,F000491,2018/1/28,1196.403
S00633,F000491,2018/2/25,3660.99318
S00634,F000491,2018/3/24,3118.62382
S00635,F000492,2017/9/8,4631.4800000000005
S00636,F000493,2017/12/10,1564.64
S00637,F000494,2017/9/22,3525.36
S00638,F000495,2018/2/23,9125.75
S00639,F000496,2017/12/18,7970.3
S00640,F000497,2017/10/26,3840.759
S00641,F000497,2018/1/10,4694.261
S00642,F000498,2017/11/5,4532.2
S00643,F000499,2018/6/26,4233.81
S00644,F000500,2017/10/25,7217.23
S00645,F000501,2018/1/19,3045.2032
S00646,F000501,2018/4/8,5911.2768
S00647,F000502,2017/10/29,6254.820000000001
S00648,F000503,2018/2/1,8991.51
S00649,F000504,2018/1/23,13213.8
S00650,F000505,2018/5/15,2123.99
S00651,F000506,2017/10/5,9889.04
S00652,F000507,2017/12/20,5931.1148
S00653,F000507,2018/2/9,1062.7916520000006
S00654,F000507,2018/3/11,1021.1135480000004
S00655,F000508,2017/10/29,5239.63
S00656,F000509,2017/12/23,5355.0322
S00657,F000509,2018/2/22,1392.3083720000002
S00658,F000509,2018/4/4,489.1894279999997
S00659,F000510,2018/5/2,7864.22
S00660,F000511,2017/10/9,8585.28
S00661,F000512,2017/11/14,3770.62
S00662,F000513,2017/10/28,3344.8
S00663,F000514,2017/10/22,7078.08
S00664,F000515,2017/10/10,12529.74
S00665,F000516,2017/10/24,2814.35
S00666,F000516,2017/12/21,1865.325
S00667,F000516,2018/1/24,1865.325
S00668,F000517,2017/11/8,9468.48
S00669,F000518,2017/10/15,3799.04
S00670,F000519,2018/2/24,4816.92
